NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length(m),Suff.Rat.,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
      26 0005,104,Ione,Amador,'SUTTER CREEK,'STATE ROUTE 104,'10-AMA-104-R5.86-ION,1970,0,28,82,Concrete continuous,Slab,,"Minor Arterial, Urban",45208
      26 0006,104,Ione,Amador,'MULE CREEK,'STATE ROUTE 104,'10-AMA-104-R4.45-ION,1970,0,23,80,Concrete continuous,Slab,,"Minor Arterial, Urban",45209
      26 0035,49,Jackson,Amador,'JACKSON CREEK,'STATE ROUTE 49,'10-AMA-049-4.10-JKN,1948,1969,50,91,Concrete continuous,Tee Beam,,"Principal Arterial - Other, Rural",45217
      26 0036,88,Jackson,Amador,'SOUTH FORK JACKSON CREE,'STATE ROUTE 88,'10-AMA-088-14.30-JKN,1948,1969,12,77.8,Concrete,Slab,,"Principal Arterial - Other, Urban",45218
      26 0037,88,Jackson,Amador,'MIDDLE FORK JACKSON CRK,'STATE ROUTE 88,'10-AMA-088-14.56-JKN,1948,0,37,72.9,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other, Urban",45219
      26 0040,49,Sutter Creek,Amador,'SUTTER CREEK,'STATE ROUTE 49,'10-AMA-049-R8.32-STCK,2007,0,186,98.3,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Rural",45220
      26C0004,,Jackson,Amador,'SOUTH FORK JACKSON CREE,'SOUTH AVE,'100 FT E/O STATE RTE 49,1925,0,9,67.5,Steel,Stringer/Multi-beam or Girder,Functionally Obsolete,"Local, Urban",45226
      26C0006,,Jackson,Amador,'JACKSON CREEK,'BROADWAY,'0.03 MI NW OF SR 88,1913,0,12,45,Concrete,Box Beam or Girders - Multiple,Functionally Obsolete,"Collector, Urban",45227
      26C0008,,Jackson,Amador,'JACKSON CREEK,'PITT STREET,'JUST NW STATE ROUTE 88,1925,0,14,25.5,Steel,Truss - Thru,Structurally Deficient,"Local, Urban",45228
      26C0034,,Jackson,Amador,'NORTH FORK JACKSON CREE,'ROSE LANE,'50' W. OF N. MAIN ST.,1971,0,9,61.6,Steel,Stringer/Multi-beam or Girder,Functionally Obsolete,"Local, Urban",45245
      26C0035,,Jackson,Amador,'SOUTH FORK JACKSON CREE,'FRENCH BAR RD,'0.1 MI E/O SSR 49,1949,0,10,72.2,Steel,Stringer/Multi-beam or Girder,Functionally Obsolete,"Local, Urban",45246
      26C0036,,Sutter Creek,Amador,'SUTTER CREEK,'BADGER ST,'0.1 MI W/O SH 49,1960,0,16,74.4,Concrete continuous,Slab,Functionally Obsolete,"Local, Urban",45247
      26C0037,,Jackson,Amador,'NORTH FORK JACKSON CREE,'PICCARDO LANE,'200' W/O N. MAIN ST.,1925,0,8,50.2,Steel continuous,Stringer/Multi-beam or Girder,Functionally Obsolete,"Local, Urban",45248
      26C0045,,Jackson,Amador,'JACKSON CREEK,'MISSION BLVD,'0.1 KM S/O SR 88,2000,0,37,78,Concrete continuous,Slab,,"Collector, Urban",45255
      26C0046,,Ione,Amador,'SUTTER CREEK,'FIVE MILE DR,'JNO MARLETTE ST,1989,0,40,100,Prestressed concrete *,Box Beam or Girders - Multiple,,"Local, Rural",45256
      26C0049,,Jackson,Amador,'SOUTH FORK JACKSON CREE,'BROADWAY,'0.6 MI S/O SR 88,2005,0,27,96.7,Concrete continuous,Slab,,"Collector, Urban",45259
      26C0051,,Sutter Creek,Amador,'SUTTER CREEK,'MAIN STREET,'1.1 MI NORTH OF ST RTE 4,0,0,20,70.1,Steel,Stringer/Multi-beam or Girder,Functionally Obsolete,"Major Collector, Rural",45261
      26C0054,,Jackson,Amador,'JACKSON CREEK,'MARCUCCI LANE,'1 MILE NE OF STATE RTE 4,2011,0,12,89.4,Concrete,Slab,,"Local, Urban",45263
      50 0071,33,Taft,Kern,'SANDY CREEK,'STATE ROUTE 33,'06-KER-033-19.51-TAF,1923,1935,8,48.3,Concrete,Tee Beam,Structurally Deficient,"Principal Arterial - Other, Urban",52886
      50 0210,,Delano,Kern,'STATE ROUTE 99,'WOOLLOMES AVE,'06-KER-099-54.48-DLN,1955,2002,60,93.5,Concrete continuous,Box Beam or Girders - Multiple,Functionally Obsolete,"Minor Arterial, Urban",52933
      50 0211,Z222,Delano,Kern,'STATE ROUTE 99,'ELEVENTH AVE,'06-KER-099-56.10-DLN,1955,0,59,95,Concrete continuous,Box Beam or Girders - Multiple,,"Collector, Urban",52934
      50 0212,155,Delano,Kern,'SR 99,'SR 155 (GARCES HW,'06-KER-155-0.41-DLN,1955,0,59,66,Concrete continuous,Box Beam or Girders - Multiple,Functionally Obsolete,"Principal Arterial - Other, Urban",52935
      50 0213,Z221,Delano,Kern,'STATE ROUTE 99,'CECIL AVE,'06-KER-099-56.54-DLN,1955,1968,59,96.4,Concrete continuous,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",52936
      50 0214,99,Delano,Kern,'HIGH ST & UP RR,'STATE ROUTE 99,'06-KER-099-57.10-DLN,1955,2000,203,84.1,Steel,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",52937
      50 0215,Z219,Delano,Kern,'STATE ROUTE 99,'COUNTY LINE ROAD,'06-KER-099-57.58-DLN,1955,2004,68,93.6,Concrete continuous,Box Beam or Girders - Multiple,Functionally Obsolete,"Minor Arterial, Urban",52938
      50 0223,,McFarland,Kern,'STATE ROUTE 99,'SHERWOOD AVE,'06-KER-099-49.30-MCF,1963,0,61,91.2,Prestressed concrete continuous *,Stringer/Multi-beam or Girder,,"Local, Urban",52946
      50 0225,,McFarland,Kern,'STATE ROUTE 99,'PERKINS AVE,'06-KER-099-49.95-MCF,1963,0,72,94.9,Prestressed concrete continuous *,Stringer/Multi-beam or Girder,Functionally Obsolete,"Minor Arterial, Urban",52947
      50 0227,119,Taft,Kern,'SANDY CREEK,'STATE ROUTE 119,'06-KER-119-0.97-TAF,1956,0,7,95.5,Concrete,Culvert (includes frame culverts),,"Principal Arterial - Other Freeways, Urban",52948
      50 0355,,Tehachapi,Kern,'STATE ROUTE 58,'MILL STREET,'06-KER-058-R91.67-THPI,1970,0,55,98,Concrete continuous,Box Beam or Girders - Multiple,,"Collector, Urban",53082
      50 0411,58,Tehachapi,Kern,'MILL STREET DRAIN,'STATE HWY 58,'06-KER-058-R91.46-THPI,1970,0,15,78.2,Concrete,Culvert (includes frame culverts),,"Principal Arterial - Other Freeways, Urban",53136
      50 0412Y,58,Tehachapi,Kern,'MILL STREET DRAIN,'MILL STREET,'06-KER-058-R91.68-THPI,1970,0,13,83,Concrete,Culvert (includes frame culverts),,"Principal Arterial - Other Freeways, Urban",53137
      50 0486,202,Tehachapi,Kern,'UP RR BNSF TEHACHAPI CR,'STATE ROUTE 202,'06-KER-202-R9.59-THPI,2002,0,147,92.1,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",53169
      50C0026L,,Shafter,Kern,'CALLOWAY CANAL,'LERDO HIGHWAY WB,'0.9 MI E CHERRY AVE,1954,0,23,73.5,Concrete,Culvert (includes frame culverts),,"Major Collector, Rural",53218
      50C0026R,,Shafter,Kern,'CALLOWAY CANAL,'LERDO HIGHWAY EB,'0.9 MI E CHERRY AVE,1954,0,23,73.5,Concrete,Culvert (includes frame culverts),,"Major Collector, Rural",53219
      50C0034,,McFarland,Kern,'UP RR,'SHERWOOD AVE,'0.1 MI W SAN JUAN ST,1963,0,36,97.3,Prestressed concrete *,Slab,,"Minor Arterial, Urban",53223
      50C0035,,McFarland,Kern,'UP RR,'PERKINS AVE,'0.25 MI W BROWNING RD,1963,0,46,96.1,Prestressed concrete *,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",53224
      50C0055,,Shafter,Kern,'LERDO CANAL,'ZERKER RD,'SOUTH OF LERDO HWY,1964,0,12,78.2,Concrete,Culvert (includes frame culverts),,"Local, Rural",53233
      50C0097,,Tehachapi,Kern,'TEHACHAPI STORM DRAIN,'TEHACHAPI BLVD,'WEST OF DENNISON,1948,0,10,95.5,Concrete,Culvert (includes frame culverts),,"Collector, Urban",53266
      50C0108,,Shafter,Kern,'FRIANT-KERN CANAL,'LERDO HIGHWAY,'1.9 MI EAST OF CHERRY AV,1951,1989,22,73.6,Concrete,Tee Beam,,"Major Collector, Rural",53273
