# This automated data download from the USGS Tracking Water Quality of the Nation's Rivers and Streams website have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_QW_ID USGS station identifier for water-quality sampling (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID USGS or other agency station identifier for streamflow measurement (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#CONSTIT Abbreviation indicating constituent type.  Values include NO3+NO2: nitrate plus nitrite as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration
#DATE  Date of sample
#WY Water year; the 12-month period beginning on October 1 for any given year and lasting through September 30 of the following year. The water year is designated by the calendar year in which it ends.
#CONCENTRATION Concentration in milligrams per liter
#REMARK Water-quality remark.  This field is < if data are less than the laboratory reporting level or blank if they are not
SITE_QW_ID,SITE_FLOW_ID,CONSTIT,DATE,WY,CONCENTRATION,REMARK
11074000,11074000,NO3_NO2,1992-11-10,1993,5.8,
11074000,11074000,NO3_NO2,1993-01-26,1993,1.2,
11074000,11074000,NO3_NO2,1993-03-25,1993,3.6,
11074000,11074000,NO3_NO2,1993-05-12,1993,4.1,
11074000,11074000,NO3_NO2,1993-07-13,1993,8.4,
11074000,11074000,NO3_NO2,1993-09-15,1993,6.8,
11074000,11074000,NO3_NO2,1993-11-03,1994,7.8,
11074000,11074000,NO3_NO2,1994-01-26,1994,6.9,
11074000,11074000,NO3_NO2,1994-03-17,1994,6.0,
11074000,11074000,NO3_NO2,1994-05-26,1994,4.5,
11074000,11074000,NO3_NO2,1994-07-14,1994,5.9,
11074000,11074000,NO3_NO2,1994-09-15,1994,6.8,
11074000,11074000,NO3_NO2,1996-10-09,1997,8.0,
11074000,11074000,NO3_NO2,1996-10-30,1997,8.9,
11074000,11074000,NO3_NO2,1996-10-31,1997,8.4,
11074000,11074000,NO3_NO2,1996-11-21,1997,7.3,
11074000,11074000,NO3_NO2,1996-11-22,1997,3.7,
11074000,11074000,NO3_NO2,1996-11-24,1997,3.1,
11074000,11074000,NO3_NO2,1996-11-25,1997,2.74,
11074000,11074000,NO3_NO2,1996-12-09,1997,5.2,
11074000,11074000,NO3_NO2,1996-12-10,1997,3.6,
11074000,11074000,NO3_NO2,1996-12-11,1997,3.1,
11074000,11074000,NO3_NO2,1996-12-12,1997,3.31,
11074000,11074000,NO3_NO2,1996-12-13,1997,3.11,
11074000,11074000,NO3_NO2,1996-12-14,1997,2.87,
11074000,11074000,NO3_NO2,1996-12-16,1997,3.61,
11074000,11074000,NO3_NO2,1996-12-17,1997,3.1,
11074000,11074000,NO3_NO2,1997-01-20,1997,3.7,
11074000,11074000,NO3_NO2,1997-01-21,1997,3.15,
11074000,11074000,NO3_NO2,1997-01-25,1997,4.5,
11074000,11074000,NO3_NO2,1997-01-26,1997,4.5,
11074000,11074000,NO3_NO2,1997-01-27,1997,0.89,
11074000,11074000,NO3_NO2,1997-01-28,1997,1.04,
11074000,11074000,NO3_NO2,1997-01-29,1997,1.31,
11074000,11074000,NO3_NO2,1997-01-30,1997,1.29,
11074000,11074000,NO3_NO2,1997-09-15,1997,2.8,
11074000,11074000,NO3_NO2,1997-09-16,1997,3.76,
11074000,11074000,NO3_NO2,1997-09-25,1997,2.88,
11074000,11074000,NO3_NO2,1997-09-26,1997,4.49,
