word,count
Trump,39
to,23
the,18
a,16
and,14
in,12
is,11
for,9
of,9
Trump's,7
American,6
are,6
I,6
with,6
be,5
by,5
FBI,5
his,5
know,5
should,5
was,5
-,4
&amp,4
at,4
but,4
get,4
if,4
it,4
on,4
over,4
polls,4
that,4
This,4
trash,4
wrong,4
about,3
agencies,3
countries,3
deported,3
Donald,3
DREAMer,3
even,3
first,3
First,3
FlipThe6th,3
His,3
how,3
not,3
our,3
Russian,3
this,3
under,3
via,3
you,3
$107,2
A,2
administration,2
after,2
America,2
an,2
And,2
answer,2
ass,2
Be,2
Buy,2
called,2
calls,2
campaign,2
can't,2
committee,2
Counter,2
desire,2
do,2
doesn't,2
don't,2
dossier,2
doubling,2
election,2
Erdogan,2
flip,2
from,2
Georgia,2
had,2
have,2
impeached,2
IN,2
inaugural,2
Intel,2
Intelligence,2
investigation,2
Ivanka,2
Jared,2
journalist,2
JUST,2
lied,2
like,2
list,2
made,2
material,2
million,2
nearly,2
need,2
no,2
Obama,2
order,2
out,2
president,2
President,2
public,2
Putin,2
raised,2
Rating,2
read,2
record,2
same,2
set,2
signs,2
tax,2
than,2
The,2
their,2
think,2
turned,2
u,2
US,2
used,2
visas,2
voters,2
What,2
when,2
where,2
who's,2
why,2
You,2
|,1
17,1
2010,1
2015,1
2scramble,1
4,1
6,1
About,1
Abuse,1
ACCOUNTABLE,1
Act,1
active,1
admin,1
admit,1
adviser,1
affairs,1
Against,1
Ahead,1
aircraft,1
airforce,1
Alex,1
aligns,1
all,1
allegations,1
amplifying,1
Antifa,1
applaud,1
Approval,1
Are,1
Arrests!,1
ask,1
Ask,1
associates,1
Attacks,1
babies,1
back,1
bc,1
Bear,1
beat,1
Because,1
been,1
being,1
betrayal,1
between,1
bolster,1
Bombers,1
bottles,1
brave,1
BREAKING,1
breaks,1
Brexit,1
brutal,1
business,1
callous,1
can,1
Can't,1
capable,1
car,1
care,1
carrier,1
catching,1
cementing,1
Central,1
Chaffetz,1
chaos,1
Charismatic,1
Chinese,1
Chuck,1
Chump,1
closely,1
clothes,1
Collectors,1
colluding,1
column,1
Conflict,1
congratulate,1
CONGRESS,1
congressional,1
country,1
County,1
court,1
crackdown,1
crime,1
Crushing,1
DACA,1
day,1
Days,1
deal,1
dealing,1
Debt,1
deep,1
deficits,1
defraud,1
deleted,1
democracy,1
despite,1
Devastating,1
dictator,1
did,1
Disapproval,1
disgusting-sack-of-shit,1
dissent,1
Does,1
doesnt,1
doing,1
doubled,1
dozens,1
earthquake,1
Easter,1
Egg,1
emails,1
Emoluments,1
enough,1
ensure,1
EO,1
escaped,1
essentially,1
excesses,1
excuse,1
executive,1
ex-Trump,1
eye,1
Eyes,1
face,1
failure,1
FAIRism,1
families,1
Fantastic,1
Federal,1
feel,1
Few,1
fixing,1
For,1
force,1
foreign,1
forget,1
fraud,1
free,1
freedom/opportunity,1
From,1
Funny,1
GA-6th!,1
gang,1
GB,1
gets,1
Giuliani,1
go,1
GOD,1
goes,1
goons,1
GOP-held,1
got,1
government,1
grammar,1
Guy!,1
H-1B,1
H-2A/H-2B,1
hacker,1
Had,1
happened,1
has,1
Has,1
hats,1
he,1
hear,1
he'd,1
her,1
Highs,1
Hillary's,1
him,1
Hire,1
hires,1
Hires,1
Historic,1
hold,1
home,1
hours,1
How,1
I'd,1
illegally,1
impeachment,1
In,1
inaccurate,1
innocent,1
intel,1
interest,1
Interest,1
Internet,1
into,1
investigators,1
IRS,1
Is,1
It,1
it's,1
It's,1
J,1
jailing,1
jails,1
Jan,1
Japan,1
Jewish,1
joins,1
Jon,1
Jones,1
just,1
Just,1
key,1
Kushner,1
last,1
lawsuit,1
less!,1
letters,1
liar,1
Lies,1
line!,1
lines,1
links,1
long,1
look,1
looked,1
looks,1
lose,1
lost,1
lot,1
&lt;~~,1
lying,1
machines,1
Maduro,1
MAGA,1
make,1
Make,1
Maker,1
man,1
Marches,1
Married,1
Maxine,1
men,1
met,1
military,1
monitor,1
Month,1
moved,1
Mr,1
MS-13,1
MSNBC,1
much,1
My,1
MY,1
never,1
news,1
Newt,1
Next,1
night,1
Not,1
Now,1
NOW,1
Nuclear,1
occurrence,1
Of,1
OH,1
ok,1
On,1
once,1
one,1
only,1
Oooh,1
Openly,1
opposition,1
(or,1
Or,1
O'Reilly,1
organized,1
other,1
Our,1
ours,1
own,1
participants,1
party,1
Paving,1
people,1
Persian,1
play,1
political,1
power,1
press,1
pressed,1
Prince,1
Private,1
pro,1
promises,1
protected,1
Protecting,1
protests,1
quid,1
quo,1
race,1
rates,1
rather,1
Read,1
READ,1
records,1
red,1
RedNationRising,1
regular,1
Republicans,1
return,1
reveal,1
Revolution,1
RIGHT,1
rocks,1
Roll,1
rug,1
rule,1
run,1
Rush,1
Russia,1
Russians,1
Russia's,1
Sad,1
saddled,1
said,1
sales,1
sanctions,1
say,1
Scams,1
scandal,1
Science,1
Scientists,1
scum,1
seat,1
secretly,1
see,1
@Sen_JoeManchin,1
she,1
Sick,1
slaughter,1
Sleepy,1
so,1
So,1
Someone,1
Speaking,1
spewing,1
spying,1
start,1
status,1
stay,1
stealing,1
stick,1
still,1
Still,1
stolen,1
stop,1
street,1
stupidity,1
Sued,1
suit,1
Supervised,1
supporters,1
support=they,1
sure,1
Take,1
target,1
targets,1
TaxDay,1
taxpayers,1
tcot,1
team,1
technicality,1
tells,1
test,1
testament,1
TheLead,1
them,1
These,1
thief,1
Thon,1
threw,1
ties,1
time,1
times,1
To,1
today,1
Todd,1
track,1
trade,1
trademarks,1
trampling,1
true,1
trump,1
-Trump,1
TRUMP,1
Trumprussia,1
Trump-Russia,1
Turkey,1
ugly,1
Under,1
undermine,1
Undermining,1
unsettling,1
up,1
Up,1
USA/Trump,1
utpol,1
values,1
Venezuelan,1
victory,1
Virginia,1
VIRGINIA,1
vote,1
vote!,1
VoteLabour,1
Voters,1
VoteYourOssoff,1
Voting,1
vows,1
vs,1
w/,1
want,1
WATCH,1
Waters,1
way,1
Way,1
w/Chinese,1
we,1
We,1
were,1
We're,1
West,1
what,1
which,1
who,1
Why,1
wiggle,1
will,1
Will,1
William,1
women,1
work,1
writing,1
young,1
your,1
YOUR,1
you're,1
You're,1
yours,1
