time_created,post
2017-04-29 03:42:37,"RT QuakesInCA ""1.9 magnitude #earthquake. 16 mi from #Soledad, CA, United States https://t.co/m9L1HcYEu0"""
2017-04-29 02:02:11,"RT QuakesInCA ""2.0 magnitude #earthquake. 14 mi from Soledad, CA, #UnitedStates https://t.co/2S6GLaWPeS"""
2017-04-29 01:29:08,"RT earthquakesSF ""A 1.6 magnitude earthquake occurred 1.24mi S of Hillsborough, California. Details: … https://t.co/M0mmHNv7TM"""
2017-04-29 01:27:10,"RT QuakesInCA ""1.6 magnitude #earthquake. 1 mi from #Hillsborough, CA, #UnitedStates https://t.co/gA8lNDcznk"""
2017-04-29 01:14:11,"RT earthquakesSF ""A 1.4 magnitude earthquake occurred 7.46mi N of Morgan Hill, California. Details: … https://t.co/jAn0KrZEcE"""
2017-04-28 22:42:19,"RT QuakesInCA ""3.2 magnitude #earthquake. 14 mi from #Soledad, #CA, United States https://t.co/khyfPMI2a8"""
2017-04-28 20:12:31,"RT QuakesInCA ""1.7 magnitude #earthquake. 10 mi from #AppleValley, #CA, #UnitedStates https://t.co/OEGy3Ycnyq"""
2017-04-28 18:32:31,"RT earthquakesLA ""A 1.2 magnitude earthquake occurred 1.24mi S of Fontana, CA. Details: https://t.co/EzqBIrq7JL M… https://t.co/5VBWMwWT2v"""
2017-04-28 17:27:07,"RT QuakesInCA ""1.9 magnitude #earthquake. 3 mi from #Northridge, CA, #UnitedStates https://t.co/wuYOXtkLnT"""
2017-04-28 17:27:07,"RT QuakesInCA ""1.9 magnitude #earthquake. 15 mi from Coalinga, #CA, United States https://t.co/dOus5UhC4h"""
2017-04-28 17:24:24,"RT earthquakesLA ""A 1.8 magnitude earthquake occurred 0.62mi S of Granada Hills, CA. Details: … https://t.co/NCY95IBASo"""
2017-04-28 17:24:24,"RT earthquakesLA ""A 1.4 magnitude earthquake occurred 4.97mi SSE of Home Gardens, CA. Details: … https://t.co/FyP5Xu7n3B"""
2017-04-28 17:24:23,"RT earthquakesLA ""A 1.7 magnitude earthquake occurred 2.49mi WSW of La Habra Heights, CA. Details: … https://t.co/Rooxpm84XJ"""
2017-04-28 17:22:22,"RT QuakesInCA ""1.7 magnitude #earthquake. 1 mi from #EastLaMirada, CA, #####UnitedStates https://t.co/oZitfXG5np"""
2017-04-28 17:22:22,"RT QuakesInCA ""1.5 magnitude #earthquake. 5 mi from Home Gardens, CA, ####UnitedStates https://t.co/XS8CVcRqyJ"""
2017-04-28 17:08:14,"RT earthquakesLA ""A 1.8 magnitude earthquake occurred 2.49mi WSW of La Habra Heights, CA. Details: … https://t.co/v7Uv49k3sE"""
2017-04-28 17:07:31,"RT QuakesInCA ""1.8 magnitude #earthquake. 2 mi from #EastLaMirada, #CA, United States https://t.co/rcnjvKKaha"""
2017-04-28 16:17:49,"RT QuakesInCA ""1.8 magnitude #earthquake. 5 mi from #Gilroy, CA, #UnitedStates https://t.co/bGTXe3O3uq"""
2017-04-28 16:04:35,"RT earthquakesLA ""A 2.0 magnitude earthquake occurred 0.62mi NNW of Rowland Heights, California. Details: … https://t.co/X7BOkyDUXM"""
2017-04-28 16:02:22,"RT QuakesInCA ""2.0 magnitude #earthquake. 1 mi from ##RowlandHeights, CA, United States https://t.co/OfOumdUGzl"""
