t_master.zipcode,t_master.primarycity,t_master.county,t_master.obsolete_bridge_count,t_master.deficient_bridge_count,t_master.num_of_earthquakes_last_7_days,t_master.most_recent_earthquake,t_master.max_magnitude_last_7_days,t_master.fire_last_7_days,t_master.cause_of_death1,t_master.num_of_deaths_of_cause1,t_master.cause_of_death2,t_master.num_of_deaths_of_cause2,t_master.cause_of_death3,t_master.num_of_deaths_of_cause3,t_master.cause_of_death4,t_master.num_of_deaths_of_cause4,t_master.cause_of_death5,t_master.num_of_deaths_of_cause5,t_master.most_recent_water_quality,t_master.avg_water_quality_concentration,t_master.aq_annual_year,t_master.aq_annual_value,t_master.aq_percent_year,t_master.aq_percent_value,t_master.aq_days_year,t_master.aq_days,t_master.storm_deaths,t_master.storm_injuries,t_master.storm_damages,t_master.storm_type,t_master.homicide_per_1000,t_master.violent_per_1000,t_master.property_per_1000,t_master.drug_per_1000,t_master.sex_per_1000,t_master.other_per_1000,t_master.landslide_count,t_master.landslide_rank,t_master.latest_landslide
90001,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,1007.0,CAN,743.0,OTH,669.0,STK,202.0,DIA,186.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90002,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,1181.0,CAN,811.0,OTH,765.0,STK,265.0,DIA,179.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90003,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,1449.0,CAN,1035.0,OTH,915.0,STK,305.0,HOM,235.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90004,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,1181.0,CAN,949.0,OTH,628.0,STK,260.0,PNF,145.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90005,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,670.0,CAN,597.0,OTH,363.0,STK,154.0,PNF,120.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90006,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,1063.0,CAN,791.0,OTH,606.0,STK,250.0,INJ,180.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90007,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,651.0,CAN,455.0,OTH,336.0,STK,141.0,PNF,95.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90008,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,1593.0,CAN,1127.0,OTH,803.0,STK,321.0,PNF,197.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90009,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,2.0,OTH,1.0,NULL,NULL,NULL,NULL,SUI,0.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
90010,Los Angeles,Los Angeles County,412,35,1,NULL,NULL,1,HTD,62.0,CAN,55.0,OTH,28.0,STK,23.0,PNF,11.0,NULL,NULL,2013,12.148642106071801,2013,1.36986301369863,2013,59,NULL,NULL,NULL,NULL,0.01,0.5,0.5,0.59,0.03,0.34,49,1,2014-03-14
